date and Time;CO;SO2;H2S;NO2;pm2.5;pm10;Temperature;Pressure;Humidity;Pressure Altitude
2021-08-03 03:57:33;1.26;-0.27;6.959673587456966;11.661452563327352;32.1;36.0;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 04:07:38;1.09;-0.38;6.959673587456966;15.548603417769778;31.9;36.1;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 04:17:42;0.03;-0.37;6.959673587456966;15.484141730977022;31.2;35.0;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 04:27:48;0.04;-0.46;6.959673587456966;15.484141730977022;30.6;34.3;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 04:37:53;0.89;0.0;6.959673587456966;15.484141730977022;31.2;35.0;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 04:47:58;0.87;-0.52;6.959673587456966;15.484141730977022;31.3;35.4;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 04:58:03;0.83;-0.52;6.920023077940513;-0.0;31.7;35.5;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 05:08:08;0.78;-0.54;6.920023077940513;-0.0;31.7;35.6;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 05:18:12;0.86;-0.61;6.920023077940513;3.8710354327442347;31.6;36.0;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 05:28:18;13.01;0.04;6.920023077940513;7.742070865488524;31.8;36.2;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 05:38:23;0.85;-0.59;6.920023077940513;3.8710354327442347;31.9;36.0;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 05:48:28;0.9;-0.56;6.920023077940513;7.742070865488524;31.9;35.8;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 05:58:34;0.0;-0.56;6.920023077940513;7.742070865488524;31.6;36.6;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 06:08:39;0.84;-0.54;6.920023077940513;15.484141730977022;31.5;37.4;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 06:18:44;0.76;-0.63;6.920023077940513;15.484141730977022;31.7;37.0;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 06:28:49;0.87;-0.57;6.920023077940513;15.484141730977022;31.9;37.3;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 06:38:54;0.88;-0.58;6.920023077940513;15.484141730977022;31.1;35.0;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 06:48:58;0.85;-0.57;6.920023077940513;15.484141730977022;30.7;35.8;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 06:59:03;0.89;0.03;6.920023077940513;15.484141730977022;30.2;34.2;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 07:09:08;0.01;-0.58;6.920023077940513;15.484141730977022;30.3;35.5;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 07:19:13;0.88;-0.57;6.920023077940513;19.355177163721315;30.5;34.5;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 07:29:18;0.81;-0.53;6.920023077940513;15.484141730977022;30.6;35.2;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 07:39:23;0.85;-0.54;6.920023077940513;15.484141730977022;31.1;35.7;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 07:49:27;0.87;-0.59;6.920023077940513;11.613106298232784;30.6;35.4;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 07:59:32;0.0;0.03;6.920023077940513;15.484141730977022;30.3;35.0;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 08:09:42;0.87;-0.55;6.920023077940513;3.85505308258057;25.9;34.4;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 08:19:46;0.86;-0.55;6.920023077940513;3.85505308258057;42.4;53.2;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 08:29:54;0.98;33.2;6.920023077940513;3.85505308258057;45.4;58.1;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 08:39:59;1.0;-0.48;6.920023077940513;15.42021233032236;27.3;39.8;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 08:50:07;0.96;-0.46;6.920023077940513;-3.8710354327442884;24.6;32.0;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 09:00:12;0.92;-0.47;6.920023077940513;-7.742070865488577;19.2;21.3;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 09:10:16;0.73;-0.66;7.040353551190193;-3.9197876161039806;25.1;30.4;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 09:20:24;13.01;-0.29;7.2074583649977715;-0.0;26.3;31.7;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 09:30:29;0.03;0.09;-4.08899674366767;19.355177163721315;26.7;31.0;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 09:40:37;1.38;-0.42;6.920023077940513;-7.742070865488577;20.5;22.7;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 09:50:42;1.36;-0.45;6.920023077940513;-7.710106165161246;17.3;21.4;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
2021-08-03 10:00:47;1.28;0.09;6.920023077940513;-7.710106165161246;8.4;9.3;23.89164298810065;100248.82260939214;68.99483700035725;295.0592135790526
